relation_id,source,source_year,source_title,target,target_year,target_title,relation_type,research_line,confidence,support_type,rationale,source_gap_page,source_gap_evidence,target_gap_page,target_gap_evidence,source_insight,target_insight,status
E01,P003,2022,Stacked Topological Preserving Dynamic Brain Networks Representation and Classification,P020,2024,Spatio-Temporal Graph Hubness Propagation Model for Dynamic Brain Network Classification,EXTENDS,RL1,HIGH,problem/gap continuity,P003 已把动态脑网络的拓扑与时间变化联合表示作为核心问题；P020 进一步指出“独立窗口学习”无法捕获跨窗口高阶拓扑演化，并显式建模 topology evolution。,1,"However, most of the current methods for constructing DFCNs fail to aggre- gate the brain topology structure and temporal variation of the functional architecture associated with brain regions, and often ignore the inher…",2,"However, the conventional dynamic brain networks methods rely solely on feature learning of independent brain networks within each time window, and they are unable to extract high-order network topology evolution informa…","In order to address these issues, we propose a novel DFCNs construction and representation method and apply it to brain disease diag- nosis.","In this paper, we propose to use optimal transport (OT) theory to capture the topology evolution of the dy- namic brain networks, and develop a multi-channel spatio- temporal graph convolutional network that collaborativ…",STRONG_SUPPORTED_RELATION
E02,P020,2024,Spatio-Temporal Graph Hubness Propagation Model for Dynamic Brain Network Classification,P022,2025,NeuroH-TGL: Neuro-Heterogeneity Guided Temporal Graph Learning Strategy for Brain Disease Diagnosis,REFINES,RL1,HIGH,later paper cites P020 + gap refinement,P022 在动态脑网络基础上把问题进一步细化为神经节点的时空异质性与异质活动的时间传播机制；P022 的参考文献明确包含 P020。,2,"However, the conventional dynamic brain networks methods rely solely on feature learning of independent brain networks within each time window, and they are unable to extract high-order network topology evolution informa…",1,"However, existing methods not only ignore the spatio-temporal heterogeneity of neural nodes, but also fail to effectively encode the temporal propagation mecha- nism of heterogeneous activities.","In this paper, we propose to use optimal transport (OT) theory to capture the topology evolution of the dy- namic brain networks, and develop a multi-channel spatio- temporal graph convolutional network that collaborativ…","To address these challenges, this paper proposes a Neuro-Heterogeneity guided Temporal Graph Learning strategy (NeuroH-TGL).",STRONG_SUPPORTED_RELATION
E03,P020,2024,Spatio-Temporal Graph Hubness Propagation Model for Dynamic Brain Network Classification,P024,2025,Long-Interval Spatio-Temporal Graph Convolution for Brain Disease Diagnosis,REFINES,RL1,MEDIUM-HIGH,strong problem continuity,P024 将 P020 一类跨窗口时空建模进一步聚焦到 long-interval temporal interactions，强调远距离时间窗之间的交互。,2,"However, the conventional dynamic brain networks methods rely solely on feature learning of independent brain networks within each time window, and they are unable to extract high-order network topology evolution informa…",1,"However, the existing DFBN analysis methods predominantly focus on capturing the topological information between brain regions within individual time windows, often neglecting the critical long-interval temporal interact…","In this paper, we propose to use optimal transport (OT) theory to capture the topology evolution of the dy- namic brain networks, and develop a multi-channel spatio- temporal graph convolutional network that collaborativ…","To tackle these problems, we propose a long-interval interactive graph convolutions method that collab- oratively captures dynamic spatio-temporal topological features from DFBNs.",SUPPORTED_HYPOTHESIS
E04,P020,2024,Spatio-Temporal Graph Hubness Propagation Model for Dynamic Brain Network Classification,P025,2025,Spatio-Temporal Evolutionary Graph Learning for Brain Network Analysis Using Medical Imaging,REFINES,RL1,HIGH,later paper cites P020 + explicit topology-evolution focus,P025 从脑区级动态交互推进到跨时间窗显式 topological evolution，并加入疾病相关/冗余约束；参考文献中包含 P020。,2,"However, the conventional dynamic brain networks methods rely solely on feature learning of independent brain networks within each time window, and they are unable to extract high-order network topology evolution informa…",1,"However, most of the existing DFBN analysis methods focus on capturing the dynamic interaction at the brain region level, ignoring the spatio-temporal topological evolution across time windows.","In this paper, we propose to use optimal transport (OT) theory to capture the topology evolution of the dy- namic brain networks, and develop a multi-channel spatio- temporal graph convolutional network that collaborativ…","To address these issues, we propose a topological evolution graph learning model to capture disease-related spatio- temporal topological features in DFBNs.",STRONG_SUPPORTED_RELATION
E05,P020,2024,Spatio-Temporal Graph Hubness Propagation Model for Dynamic Brain Network Classification,P026,2025,Interpretable Dynamic Brain Network Analysis With Functional and Structural Priors,REFRAMES,RL1,MEDIUM-HIGH,"same dynamic-DFBN problem, new interpretability gap",P026 不再只追求时空表征能力，而把“纯数据驱动、缺少结构/功能先验与可解释性”作为新的瓶颈。,2,"However, the conventional dynamic brain networks methods rely solely on feature learning of independent brain networks within each time window, and they are unable to extract high-order network topology evolution informa…",1,"However, most current DFBN analysis methods rely on data-driven modeling and ignore crucial prior knowledge of brain structure and function, resulting in weak interpretability of models.","In this paper, we propose to use optimal transport (OT) theory to capture the topology evolution of the dy- namic brain networks, and develop a multi-channel spatio- temporal graph convolutional network that collaborativ…","In this paper, we propose an interpretable spatio-temporal tensor graph convolu- tional network for DFBN analysis.",SUPPORTED_HYPOTHESIS
E06,P020,2024,Spatio-Temporal Graph Hubness Propagation Model for Dynamic Brain Network Classification,P030,2025,Enhancing Neurodegenerative Disease Diagnosis Through Confidence-Driven Dynamic Spatio-Temporal Convolutional Network,REFINES,RL1,HIGH,high semantic continuity + confidence mechanism,P030 延续动态脑网络跨窗口时空卷积，但进一步用 TCP confidence 对窗口预测进行可靠性加权，处理多窗口融合与不确定性。,2,"However, the conventional dynamic brain networks methods rely solely on feature learning of independent brain networks within each time window, and they are unable to extract high-order network topology evolution informa…",1,"However, existing classification methods for dynamic brain networks often rely on sliding windows to extract multi- window features, leading to suboptimal performance due to the spatio-temporal coupling on these windows …","In this paper, we propose to use optimal transport (OT) theory to capture the topology evolution of the dy- namic brain networks, and develop a multi-channel spatio- temporal graph convolutional network that collaborativ…","To address these limitations, we propose a novel method called Confidence-Driven Dynamic Spatio- Temporal Convolutional Network (CD-DSTCN).",STRONG_SUPPORTED_RELATION
E07,P024,2025,Long-Interval Spatio-Temporal Graph Convolution for Brain Disease Diagnosis,P040,2026,Spatio-Temporal Hypergraph Attention Networks for Brain Disease Analysis,GENERALIZES,RL1,MEDIUM-HIGH,long-range/cross-window to high-order hypergraph,P040 将跨窗口关系从普通图上的时空交互推进到高阶 hypergraph attention，并继续强调跨窗口先验。,1,"However, the existing DFBN analysis methods predominantly focus on capturing the topological information between brain regions within individual time windows, often neglecting the critical long-interval temporal interact…",1,"However, existing methods, which are primarily based on vector or graph representations, struggle to adequately characterize the intricate spatio-temporal topological architecture of functional brain networks.","To tackle these problems, we propose a long-interval interactive graph convolutions method that collab- oratively captures dynamic spatio-temporal topological features from DFBNs.","To address these issues, we propose a spatio-temporal hypergraph attention network framework for brain network analysis.",SUPPORTED_HYPOTHESIS
E08,P025,2025,Spatio-Temporal Evolutionary Graph Learning for Brain Network Analysis Using Medical Imaging,P040,2026,Spatio-Temporal Hypergraph Attention Networks for Brain Disease Analysis,GENERALIZES,RL1,MEDIUM-HIGH,topology evolution to high-order relation modeling,P025 强调时空拓扑演化，P040 进一步用超图表达普通图难以充分刻画的复杂高阶时空拓扑。,1,"However, most of the existing DFBN analysis methods focus on capturing the dynamic interaction at the brain region level, ignoring the spatio-temporal topological evolution across time windows.",1,"However, existing methods, which are primarily based on vector or graph representations, struggle to adequately characterize the intricate spatio-temporal topological architecture of functional brain networks.","To address these issues, we propose a topological evolution graph learning model to capture disease-related spatio- temporal topological features in DFBNs.","To address these issues, we propose a spatio-temporal hypergraph attention network framework for brain network analysis.",SUPPORTED_HYPOTHESIS
E09,P026,2025,Interpretable Dynamic Brain Network Analysis With Functional and Structural Priors,P040,2026,Spatio-Temporal Hypergraph Attention Networks for Brain Disease Analysis,COMBINES,RL1,MEDIUM,prior-knowledge thread,P026 将功能/结构先验引入动态脑网络；P040 同样把“缺少跨窗口先验”列为限制，体现先验约束思路向高阶时空建模的延续。,1,"However, most current DFBN analysis methods rely on data-driven modeling and ignore crucial prior knowledge of brain structure and function, resulting in weak interpretability of models.",1,"However, existing methods, which are primarily based on vector or graph representations, struggle to adequately characterize the intricate spatio-temporal topological architecture of functional brain networks.","In this paper, we propose an interpretable spatio-temporal tensor graph convolu- tional network for DFBN analysis.","To address these issues, we propose a spatio-temporal hypergraph attention network framework for brain network analysis.",SUPPORTED_HYPOTHESIS
E10,P015,2024,Ordinal Pattern Tree: A New Representation Method for Brain Network Analysis,P020,2024,Spatio-Temporal Graph Hubness Propagation Model for Dynamic Brain Network Classification,PARALLEL_BRANCH,RL1,MEDIUM,shared brain-network representation objective,P015 针对加权边与层级节点关系提出一般脑网络表示；P020 面向动态网络时空演化。二者属于表示层面的平行分支，不构成直接前后继。,1,"However, most of these methods ignored the valuable weighted information of the edges in brain networks.",2,"However, the conventional dynamic brain networks methods rely solely on feature learning of independent brain networks within each time window, and they are unable to extract high-order network topology evolution informa…","In this paper, we propose a new representation method (i.e., ordinal pattern tree) for brain network analysis.","In this paper, we propose to use optimal transport (OT) theory to capture the topology evolution of the dy- namic brain networks, and develop a multi-channel spatio- temporal graph convolutional network that collaborativ…",SUPPORTED_HYPOTHESIS
