line_id,line_name,paper_id,year,title
RL1,Dynamic Functional Brain Network Representation and Spatio-Temporal Modeling,P003,2022,Stacked Topological Preserving Dynamic Brain Networks Representation and Classification
RL1,Dynamic Functional Brain Network Representation and Spatio-Temporal Modeling,P015,2024,Ordinal Pattern Tree: A New Representation Method for Brain Network Analysis
RL1,Dynamic Functional Brain Network Representation and Spatio-Temporal Modeling,P020,2024,Spatio-Temporal Graph Hubness Propagation Model for Dynamic Brain Network Classification
RL1,Dynamic Functional Brain Network Representation and Spatio-Temporal Modeling,P022,2025,NeuroH-TGL: Neuro-Heterogeneity Guided Temporal Graph Learning Strategy for Brain Disease Diagnosis
RL1,Dynamic Functional Brain Network Representation and Spatio-Temporal Modeling,P024,2025,Long-Interval Spatio-Temporal Graph Convolution for Brain Disease Diagnosis
RL1,Dynamic Functional Brain Network Representation and Spatio-Temporal Modeling,P025,2025,Spatio-Temporal Evolutionary Graph Learning for Brain Network Analysis Using Medical Imaging
RL1,Dynamic Functional Brain Network Representation and Spatio-Temporal Modeling,P026,2025,Interpretable Dynamic Brain Network Analysis With Functional and Structural Priors
RL1,Dynamic Functional Brain Network Representation and Spatio-Temporal Modeling,P030,2025,Enhancing Neurodegenerative Disease Diagnosis Through Confidence-Driven Dynamic Spatio-Temporal Convolutional Network
RL1,Dynamic Functional Brain Network Representation and Spatio-Temporal Modeling,P040,2026,Spatio-Temporal Hypergraph Attention Networks for Brain Disease Analysis
RL2,Multi-Modal Brain Disease Diagnosis and Fusion,P002,2022,Multimodal Triplet Attention Network for Brain Disease Diagnosis
RL2,Multi-Modal Brain Disease Diagnosis and Fusion,P006,2023,MSTGC: Multi-Channel Spatio-Temporal Graph Convolution Network for Multi-Modal Brain Networks Fusion
RL2,Multi-Modal Brain Disease Diagnosis and Fusion,P009,2023,A Cognitive-Driven Ordinal Preservation for Multimodal Imbalanced Brain Disease Diagnosis
RL2,Multi-Modal Brain Disease Diagnosis and Fusion,P010,2023,Multi-Modal Non-Euclidean Brain Network Analysis With Community Detection and Convolutional Autoencoder
RL2,Multi-Modal Brain Disease Diagnosis and Fusion,P014,2023,Deep Multi-Modal Discriminative and Interpretability Network for Alzheimer&#x2019;s Disease Diagnosis
